long;lat;id;linea;estacion;numero_de_;destino_bo;lineas_de_;cierra_fin;escalera_p;escalera_m;ascensor;rampa;salvaescal;calle;altura;calle2;barrio;comuna;observacio;Objeto;dom_norma;dom_orig
-5.843.616.339;-3.461.829.449;68;A;ACOYTE;2;a San Pedrito;;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Rivadavia;4994;;Caballito;Comuna 6;Solo anden a San Pedrito;Boca de subte;RIVADAVIA AV. 4994;Rivadavia 4994
-5.843.625.192;-3.461.809.714;69;A;ACOYTE;1;a Plaza de Mayo;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;4995;;Caballito;Comuna 6;Solo anden a Plaza de Mayo;Boca de subte;RIVADAVIA AV. 4995;Rivadavia 4995
-5.843.580.009;-3.461.789.368;70;A;ACOYTE;5;a Plaza de Mayo;;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Rivadavia;4963;;Caballito;Comuna 6;Solo anden a Plaza de Mayo;Boca de subte;RIVADAVIA AV. 4963;Rivadavia 4963
-5.843.568.787;-3.461.807.104;71;A;ACOYTE;6;a San Pedrito;;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Rivadavia;4960;;Caballito;Comuna 6;Solo anden a San Pedrito;Boca de subte;RIVADAVIA AV. 4960;Rivadavia 4960
-5.844.129.269;-3.462.033.464;72;A;PRIMERA JUNTA;1;a Plaza de Mayo y San Pedrito;;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;5391;;Caballito;Comuna 6;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 5391;Rivadavia 5391
-5.844.125.101;-3.462.064.121;73;A;PRIMERA JUNTA;2;a Plaza de Mayo y San Pedrito;;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Del Barco Centenera;13;;Caballito;Comuna 6;Vestíbulo intermedio;Boca de subte;BARCO CENTENERA DEL 13;Del Barco Centenera 13
-5.844.105.946;-3.462.058.223;74;A;PRIMERA JUNTA;4;a Plaza de Mayo y San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Del Barco Centenera;10;;Caballito;Comuna 6;Vestíbulo intermedio;Boca de subte;BARCO CENTENERA DEL 10;Del Barco Centenera 10
-5.844.881.116;-3.462.373.781;75;A;PUAN;2;a Plaza de Mayo y San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;5920;;Caballito;Comuna 6;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 5920;Rivadavia 5920
-5.844.868.192;-3.462.341.011;76;A;PUAN;3;a Plaza de Mayo y San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;5927;;Caballito;Comuna 6;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 5927;Rivadavia 5927
-5.844.831.299;-3.462.354.364;77;A;PUAN;4;a Plaza de Mayo y San Pedrito;;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Rivadavia;5898;;Caballito;Comuna 6;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 5898;Rivadavia 5898
