long,lat,id,linea,estacion,numero_de_,destino_bo,lineas_de_,cierra_fin,escalera_p,escalera_m,ascensor,rampa,salvaescal,calle,altura,calle2,barrio,comuna,observacio,Objeto,dom_norma,dom_orig
-58.46185263,-34.55591596,264,D,CONGRESO DE TUCUMAN,3,a Catedral,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Cabildo,2831,,Belgrano,Comuna 13,Vestíbulo intermedio,Boca de subte,CABILDO AV. 2831,Cabildo 2831
-58.46253032,-34.55575883,265,D,CONGRESO DE TUCUMAN,4,a Catedral,,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,Cabildo,2860,,Belgrano,Comuna 13,Vestíbulo intermedio,Boca de subte,CABILDO AV. 2860,Cabildo 2860
-58.46206034,-34.55569761,266,D,CONGRESO DE TUCUMAN,1,a Catedral,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Cabildo,2869,,Belgrano,Comuna 13,Vestíbulo intermedio,Boca de subte,CABILDO AV. 2869,Cabildo 2869
-58.46224706,-34.55605923,267,D,CONGRESO DE TUCUMAN,6,a Catedral,,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,Cabildo,2834,,Belgrano,Comuna 13,Vestíbulo intermedio,Boca de subte,CABILDO AV. 2834,Cabildo 2834
-58.37372812,-34.60947367,268,E,BOLIVAR,3,Salida únicamente,A-D,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,Presidente Julio Roca,516,,Monserrat,Comuna 1,Salida únicamente,Boca de subte,ROCA. JULIO A.. PRESIDENTE DIAGONAL SUR AV. 516,Presidente Julio Roca 516
-58.37342227,-34.60917381,269,E,BOLIVAR,1,a Plaza de los Virreyes,A-D,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Hipólito Yrigoyen,500,,Monserrat,Comuna 1,Andén a Plaza de los Virreyes,Boca de subte,YRIGOYEN. HIPOLITO AV. 500,Hipólito Yrigoyen 500
-58.37362402,-34.60901786,270,E,BOLIVAR,2,a Plaza de los Virreyes,A-D,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Hipólito Yrigoyen,501,,Monserrat,Comuna 1,Andén a Plaza de los Virreyes,Boca de subte,YRIGOYEN. HIPOLITO 501,Hipólito Yrigoyen 501
-58.37474821,-34.60982362,271,E,BOLIVAR,4,a Plaza de los Virreyes,A-D,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Perú,164,,Monserrat,Comuna 1,Andén a Plaza de los Virreyes,Boca de subte,PERU 164,Perú 164
-58.37445945,-34.61015069,272,E,BOLIVAR,5,a Plaza de los Virreyes,A-D,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Presidente Julio Roca,590,,Monserrat,Comuna 1,Andén a Plaza de los Virreyes,Boca de subte,ROCA. JULIO A.. PRESIDENTE DIAGONAL SUR AV. 590,Pre
-58.3750247,-34.61067347,273,E,BOLIVAR,7,a Plaza de los Virreyes,A-D,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Presidente Julio Roca,610,,Monserrat,Comuna 1,Andén a Plaza de los Virreyes,Boca de subte,ROCA. JULIO A.. PRESIDENTE DIAGONAL SUR AV. 610,Pres
-58.3778252,-34.6127771,274,E,BELGRANO,3,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Belgrano,809,,Monserrat,Comuna 1,Vestíbulo intermedio,Boca de subte,BELGRANO AV. 809,Belgrano 809
-58.37780574,-34.61297135,275,E,BELGRANO,4,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Belgrano,802,,Monserrat,Comuna 1,Vestíbulo intermedio,Boca de subte,BELGRANO AV. 802,Belgrano 802
-58.37815755,-34.61279021,276,E,BELGRANO,1,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Belgrano,835,,Monserrat,Comuna 1,Vestíbulo intermedio,Boca de subte,BELGRANO AV. 835,Belgrano 835
-58.37812483,-34.61298631,277,E,BELGRANO,2,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Belgrano,836,,Monserrat,Comuna 1,Vestíbulo intermedio,Boca de subte,BELGRANO AV. 836,Belgrano 836
-58.38159284,-34.61826391,278,E,INDEPENDENCIA,4,Salida únicamente,C,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,Lima,875,,Constitucion,Comuna 1,Salida únicamente,Boca de subte,LIMA 875,Lima 875
-58.38160864,-34.61796937,279,E,INDEPENDENCIA,2,a Retiro y Plaza de los Virreyes,C,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Lima,845,,Constitucion,Comuna 1,Vestíbulo intermedio,Boca de subte,LIMA 845,Lima 845
-58.3853503,-34.62226423,280,E,SAN JOSE,1,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,1369,,Constitucion,Comuna 1,Vestíbulo intermedio,Boca de subte,SAN JUAN AV. 1369,San Juan 1369
-58.3848887,-34.62224241,281,E,SAN JOSE,3,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,1329,,Constitucion,Comuna 1,Vestíbulo intermedio,Boca de subte,SAN JUAN AV. 1329,San Juan 1329
-58.39134918,-34.62296311,282,E,ENTRE RIOS - RODOLFO WALSH,4,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Entre Ríos,1216,,Constitucion,Comuna 1,Vestíbulo intermedio,Boca de subte,ENTRE RIOS AV. 1216,Entre Ríos 1216
-58.39159037,-34.62297876,283,E,ENTRE RIOS - RODOLFO WALSH,2,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Entre Ríos,1217,,San Cristobal,Comuna 3,Vestíbulo intermedio,Boca de subte,ENTRE RIOS AV. 1217,Entre Ríos 1217
-58.39138163,-34.62248477,284,E,ENTRE RIOS - RODOLFO WALSH,3,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Entre Ríos,1184,,Constitucion,Comuna 1,Vestíbulo intermedio,Boca de subte,ENTRE RIOS AV. 1184,Entre Ríos 1184
-58.40308604,-34.62379189,285,E,JUJUY,1,a Retiro y Plaza de los Virreyes,H,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,2743,,San Cristobal,Comuna 3,Vestíbulo intermedio,Boca de subte,SAN JUAN AV. 2743,San Juan 2743
-58.40268594,-34.62373517,286,E,JUJUY,3,a Retiro y Plaza de los Virreyes,H,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,2705,,San Cristobal,Comuna 3,Vestíbulo intermedio,Boca de subte,SAN JUAN AV. 2705,San Juan 2705
-58.40273334,-34.62394609,287,E,JUJUY,4,a Retiro y Plaza de los Virreyes,H,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,2730,,San Cristobal,Comuna 3,Vestíbulo intermedio,Boca de subte,SAN JUAN AV. 2730,San Juan 2730
-58.40315508,-34.62399983,288,E,JUJUY,2,a Retiro y Plaza de los Virreyes,H,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,2764,,San Cristobal,Comuna 3,Vestíbulo intermedio,Boca de subte,SAN JUAN AV. 2764,San Juan 2764
-58.40952534,-34.62458861,289,E,URQUIZA,3,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,3141,,San Cristobal,Comuna 3,Vestíbulo intermedio,Boca de subte,SAN JUAN AV. 3141,San Juan 3141
-58.40986556,-34.62461792,290,E,URQUIZA,1,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,3161,,San Cristobal,Comuna 3,Vestíbulo intermedio,Boca de subte,SAN JUAN AV. 3161,San Juan 3161
-58.40948862,-34.62476923,291,E,URQUIZA,2,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,3144,,San Cristobal,Comuna 3,Vestíbulo intermedio,Boca de subte,SAN JUAN AV. 3144,San Juan 3144
-58.41596298,-34.62569361,292,E,BOEDO,2,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Boedo,1014,,Boedo,Comuna 5,Andén central,Boca de subte,BOEDO AV. 1014,Boedo 1014
-58.41619258,-34.62571836,293,E,BOEDO,4,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Boedo,1011,,Boedo,Comuna 5,Andén central,Boca de subte,BOEDO AV. 1011,Boedo 1011
